staircase_procedure.thisTrialN,staircase_procedure.stepSize,staircase_procedure.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,orientation,staircase_procedure.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,orientation,absolute orientation value
100,0.5,2.5,153.1367435,153.6369613,153.6369613,153.6369613,153.9364376,2.5,1,0.4934884,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2.5,2.5
101,0.5,2.5,154.1531522,154.6536951,154.6536951,154.6536951,154.953129,2.5,1,0.7539035,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2.5,2.5
102,0.5,2.5,155.4362954,155.937027,155.937027,155.937027,156.2366816,2.5,1,0.6657499,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2.5,2.5
103,0.5,2,156.6200018,157.1202135,157.1202135,157.1202135,157.4198836,-2,0,1.2330555,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2,2
104,0.5,2.5,158.3699624,158.870274,158.870274,158.870274,159.1699226,-2.5,1,0.6720532,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2.5,2.5
105,0.5,2.5,159.5698016,160.0703237,160.0703237,160.0703237,160.3700971,-2.5,1,0.6448219,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2.5,2.5
106,0.5,2.5,160.7367494,161.236996,161.236996,161.236996,161.5369283,2.5,1,0.938663,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2.5,2.5
107,0.5,2,162.2030664,162.7037697,162.7037697,162.7037697,163.003314,2,1,0.5574448,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
108,0.5,2,163.2866676,163.787136,163.787136,163.787136,164.0869424,-2,1,0.5905495,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2,2
109,0.5,2,164.4031042,164.903622,164.903622,164.903622,165.2034885,2,1,0.7033183,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
110,0.5,1.5,165.6367612,166.1373082,166.1373082,166.1373082,166.4364749,1.5,0,0.7019426,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1.5,1.5
111,0.5,2,166.8700005,167.370447,167.370447,167.370447,167.669946,-2,1,0.8894059,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2,2
112,0.5,2,168.2863889,168.7870767,168.7870767,168.7870767,169.0868735,-2,1,0.6777835,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2,2
113,0.5,2,169.4866392,169.9871929,169.9871929,169.9871929,170.2866695,2,1,0.8828749,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
114,0.5,1.5,170.8867578,171.3873079,171.3873079,171.3873079,171.6867329,-1.5,1,0.8632514,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1.5,1.5
115,0.5,1.5,172.2698045,172.7702889,172.7702889,172.7702889,173.0701643,1.5,1,0.8224061,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1.5,1.5
116,0.5,1.5,173.6198511,174.1204173,174.1204173,174.1204173,174.4202274,-1.5,1,0.808348001,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1.5,1.5
117,0.5,1,174.9532502,175.4536565,175.4536565,175.4536565,175.7534549,1,1,0.6602024,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
118,0.5,1,176.1365675,176.6370155,176.6370155,176.6370155,176.9366409,1,1,1.5446208,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
119,0.5,1,178.2034952,178.7037513,178.7037513,178.7037513,179.0036073,1,1,1.1861189,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
120,0.5,1,179.9203159,180.420311,180.420311,180.420311,180.7198476,1,1,0.8796238,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
121,0.5,1,181.3198821,181.8203876,181.8203876,181.8203876,182.1199953,1,1,0.8737965,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
122,0.5,1,182.719794,183.2209733,183.2209733,183.2209733,183.5203231,-1,1,0.7427263,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1,1
123,0.5,1,183.986533,184.487154,184.487154,184.487154,184.7868779,1,1,2.9399318,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
124,0.5,1,187.4533946,187.9537169,187.9537169,187.9537169,188.2536532,-1,0,6.4895135,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1,1
125,0.5,1.5,194.4702087,194.9704874,194.9704874,194.9704874,195.2701033,1.5,1,0.5956229,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1.5,1.5
126,0.5,1.5,195.586602,196.0871824,196.0871824,196.0871824,196.3866765,1.5,1,0.4909998,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1.5,1.5
127,0.5,1.5,196.6034147,197.1037434,197.1037434,197.1037434,197.4033044,-1.5,1,0.5205643,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1.5,1.5
128,0.5,1,197.6534931,198.1538338,198.1538338,198.1538338,198.4532766,1,1,0.7169757,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
129,0.5,1,198.8867243,199.3871327,199.3871327,199.3871327,199.6869617,-1,1,0.6955435,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1,1
130,0.5,1,200.1031734,200.6039293,200.6039293,200.6039293,200.9036121,1,1,0.7276679,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
131,0.5,1,201.3531653,201.8536104,201.8536104,201.8536104,202.1534714,1,0,2.4830514,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1,1
132,0.5,1.5,204.3532357,204.8539244,204.8539244,204.8539244,205.1534558,1.5,1,0.8289786,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1.5,1.5
133,0.5,1.5,205.7030336,206.2037575,206.2037575,206.2037575,206.5035354,-1.5,1,0.8134507,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1.5,1.5
134,0.5,1.5,207.0364637,207.5373454,207.5373454,207.5373454,207.836799,1.5,1,0.7037954,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1.5,1.5
135,0.5,1,208.2700127,208.7708024,208.7708024,208.7708024,209.0707515,-1,1,0.6774725,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1,1
136,0.5,1,209.4703911,209.9708144,209.9708144,209.9708144,210.2705732,-1,0,0.6928606,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1,1
137,0.5,1.5,210.6872905,211.1876983,211.1876983,211.1876983,211.4872311,1.5,0,0.9591802,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1.5,1.5
138,0.5,2,212.1703626,212.6703663,212.6703663,212.6703663,212.9698688,2,1,0.783549,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
139,0.5,2,213.4701071,213.9703322,213.9703322,213.9703322,214.2702119,2,1,0.6429947,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
140,0.5,2,214.6369313,215.1372627,215.1372627,215.1372627,215.4368215,-2,1,0.8285716,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2,2
141,0.5,1.5,215.986995,216.4869736,216.4869736,216.4869736,216.7868894,-1.5,0,0.8388553,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1.5,1.5
142,0.5,2,217.3534039,217.8539487,217.8539487,217.8539487,218.1533209,2,0,0.9537069,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
143,0.5,2.5,218.8367084,219.3372584,219.3372584,219.3372584,219.6368305,-2.5,0,0.8247436,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2.5,2.5
144,0.5,3,220.1865434,220.6871661,220.6871661,220.6871661,220.9867582,3,1,0.6797593,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,3,3
145,0.5,3,221.3867202,221.8873003,221.8873003,221.8873003,222.1867656,-3,1,0.6339318,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3,3
146,0.5,3,222.5537733,223.0538071,223.0538071,223.0538071,223.3535918,-3,0,0.7493657,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3,3
147,0.5,3.5,223.8198977,224.3200091,224.3200091,224.3200091,224.6200809,3.5,0,1.107394,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,3.5,3.5
148,0.5,4,225.45352,225.9538486,225.9538486,225.9538486,226.2536551,-4,1,0.6524509,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-4,4
149,0.5,4,226.6369441,227.1372751,227.1372751,227.1372751,227.4367671,4,1,0.564406001,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,4,4
150,0.5,4,227.7203009,228.2204795,228.2204795,228.2204795,228.5203198,4,1,0.6966224,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,4,4
151,0.5,3.5,228.936821,229.437376,229.437376,229.437376,229.7370539,3.5,1,1.0186724,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,3.5,3.5
152,0.5,3.5,230.486878,230.9874474,230.9874474,230.9874474,231.2870884,3.5,1,0.5954999,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,3.5,3.5
153,0.5,3.5,231.6033091,232.103729,232.103729,232.103729,232.4037843,3.5,1,0.559753,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,3.5,3.5
154,0.5,3,232.6867644,233.1874283,233.1874283,233.1874283,233.4868501,-3,1,1.0424261,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3,3
155,0.5,3,234.2536672,234.7540643,234.7540643,234.7540643,235.0536071,3,1,0.8125585,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,3,3
156,0.5,3,235.5868323,236.08726,236.08726,236.08726,236.3871668,-3,1,0.6003777,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3,3
157,0.5,2.5,236.7035248,237.2039883,237.2039883,237.2039883,237.5037135,2.5,1,0.6840015,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2.5,2.5
158,0.5,2.5,237.9033719,238.403967,238.403967,238.403967,238.7034475,2.5,0,0.8382241,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2.5,2.5
159,0.5,3,239.2703045,239.770488,239.770488,239.770488,240.0704483,-3,0,0.7659963,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3,3
160,0.5,3.5,240.5536363,241.0537992,241.0537992,241.0537992,241.3537139,-3.5,0,0.3301853,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3.5,3.5
161,0.5,4,241.4034556,241.9040534,241.9040534,241.9040534,242.2037238,4,1,0.498418,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,4,4
162,0.5,4,242.4200457,242.9211642,242.9211642,242.9211642,243.2201764,4,1,0.6350696,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,4,4
163,0.5,4,243.5870351,244.0872778,244.0872778,244.0872778,244.3869011,4,1,0.6909039,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,4,4
164,0.5,3.5,244.8034996,245.3040607,245.3040607,245.3040607,245.6036487,3.5,1,0.6908234,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,3.5,3.5
165,0.5,3.5,246.0200782,246.5205389,246.5205389,246.5205389,246.8202987,3.5,1,0.3242071,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,3.5,3.5
166,0.5,3.5,246.8702251,247.3706345,247.3706345,247.3706345,247.6703069,3.5,1,0.5425784,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,3.5,3.5
167,0.5,3,247.9373168,248.4372437,248.4372437,248.4372437,248.736813,3,1,0.4443001,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,3,3
168,0.5,3,248.9036676,249.404201,249.404201,249.404201,249.7037069,3,1,0.6705225,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,3,3
169,0.5,3,250.1034127,250.6038627,250.6038627,250.6038627,250.9034746,-3,1,0.7189143,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-3,3
170,0.5,2.5,251.3534724,251.8539149,251.8539149,251.8539149,252.1536168,2.5,1,0.5954267,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2.5,2.5
171,0.5,2.5,252.4700734,252.9704871,252.9704871,252.9704871,253.2701735,-2.5,1,0.7514442,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2.5,2.5
172,0.5,2.5,253.7536539,254.2537363,254.2537363,254.2537363,254.5535126,2.5,1,0.44795,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2.5,2.5
173,0.5,2,254.7203203,255.2207213,255.2207213,255.2207213,255.5205314,2,1,0.7155712,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
174,0.5,2,255.9533424,256.4537474,256.4537474,256.4537474,256.753608,-2,1,0.6094906,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2,2
175,0.5,2,257.0867934,257.5872116,257.5872116,257.5872116,257.8871445,2,1,0.5581314,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
176,0.5,1.5,258.1703518,258.6703181,258.6703181,258.6703181,258.9702189,1.5,1,0.6226292,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1.5,1.5
177,0.5,1.5,259.3204021,259.8208257,259.8208257,259.8208257,260.1201701,-1.5,0,0.5092818,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1.5,1.5
178,0.5,2,260.3534267,260.8539676,260.8539676,260.8539676,261.1535559,2,1,0.6854267,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
179,0.5,2,261.5700836,262.0705348,262.0705348,262.0705348,262.3705549,2,1,0.6496387,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
180,0.5,2,262.7370274,263.2373919,263.2373919,263.2373919,263.5369265,-2,1,0.7075171,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2,2
181,0.5,1.5,263.9700001,264.4704743,264.4704743,264.4704743,264.7704278,-1.5,1,0.8557744,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1.5,1.5
182,0.5,1.5,265.3535709,265.8539635,265.8539635,265.8539635,266.1534826,1.5,1,0.6609717,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1.5,1.5
183,0.5,1.5,266.5371334,267.0374513,267.0374513,267.0374513,267.3369959,-1.5,1,0.8100756,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1.5,1.5
184,0.5,1,267.8701443,268.3707529,268.3707529,268.3707529,268.6705348,-1,0,0.5800065,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1,1
185,0.5,1.5,268.9701321,269.470775,269.470775,269.470775,269.76962,1.5,1,0.6890703,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1.5,1.5
186,0.5,1.5,270.1869791,270.6872505,270.6872505,270.6872505,270.9870348,-1.5,0,0.8934427,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1.5,1.5
187,0.5,2,271.6035584,272.1042414,272.1042414,272.1042414,272.4038257,2,1,0.7889406,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
188,0.5,2,272.920358,273.4206439,273.4206439,273.4206439,273.7201757,2,1,0.5476987,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
189,0.5,2,273.9869808,274.4874296,274.4874296,274.4874296,274.7868724,2,1,0.4363226,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
190,0.5,1.5,274.9536718,275.4540689,275.4540689,275.4540689,275.7538975,-1.5,1,0.6065032,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1.5,1.5
191,0.5,1.5,276.086828,276.5873428,276.5873428,276.5873428,276.8867228,1.5,0,0.9070338,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,1.5,1.5
192,0.5,2,277.5204415,278.0206086,278.0206086,278.0206086,278.3203455,2,0,0.8182599,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
193,0.5,2.5,278.8703803,279.37041,279.37041,279.37041,279.6705239,-2.5,1,0.9321573,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2.5,2.5
194,0.5,2.5,280.3204122,280.8205515,280.8205515,280.8205515,281.1204716,-2.5,1,0.6734117,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2.5,2.5
195,0.5,2.5,281.5203029,282.0205583,282.0205583,282.0205583,282.3204649,-2.5,1,0.999114,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2.5,2.5
196,0.5,2,283.0371905,283.5372834,283.5372834,283.5372834,283.8370227,-2,1,0.7594482,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2,2
197,0.5,2,284.3202392,284.8206844,284.8206844,284.8206844,285.1202257,2,1,0.6974314,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,2,2
198,0.5,2,285.537042,286.0373294,286.0373294,286.0373294,286.3371549,-2,1,0.6003515,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-2,2
199,0.5,1.5,286.6534485,287.1541923,287.1541923,287.1541923,287.4533647,-1.5,1,0.8972937,308182,1,2023-09-07_15h12.47.488,orientation_discrimination,2023.1.3,60.00456033,-1.5,1.5
